"62123456789","FNB Cheque Account"
"Date","Amount","Balance","Description"
"03/09/2024","4200.00","14200.00","ACB CREDIT RENT RECEIVED RENT-SEP"
"05/09/2024","-1500.00","12700.00","DEBIT CARD PURCHASE WOOLWORTHS"
"05/09/2024","25000.00","37700.00","ACB CREDIT SALARY 789012"
"06/09/2024","-350.50","37349.50","PREPAID PURCHASE VODACOM"
"06/09/2024","-899.99","36449.51","CELL C MONTHLY AIRTIME"
"07/09/2024","-3500.00","32949.51","INTERNET TRF TO SAVINGS"
"10/09/2024","-650.00","32299.51","UBER SA TRIPS"
"11/09/2024","-2100.00","30199.51","TAKEALOT ONLINE TAK-445566"
"12/09/2024","-180.50","30019.01","ENGEN GARAGE FUEL"
"13/09/2024","-275.00","29744.01","MR DELIVERY FOOD"
"15/09/2024","12000.00","41744.01","ACB CREDIT INV-2024-089 CLIENT A"
"15/09/2024","-750.00","40994.01","DISCOVERY HEALTH DEBIT ORDER"
"16/09/2024","-1850.00","39144.01","OUTSURANCE PREMIUM"
"18/09/2024","-420.00","38724.01","CHECKERS HYPER"
